gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
23147,12/31/24,2024,INDL,C,D,STD,NSA,NATIONAL STORAGE AFFILIATES,USD,1618563,A,601080,60,60108020,531120,6798,,,2.89041004
213288,12/31/24,2024,INDL,C,D,STD,ERJ,EMBRAER SA,USD,1355444,A,201010,20,20101010,336411,3721,110,925,2.88645924
10735,12/31/24,2024,INDL,C,D,STD,TRN,TRINITY INDUSTRIES INC,USD,99780,A,201060,20,20106010,336510,3743,355,925,2.8839213
26385,12/31/24,2024,INDL,C,D,STD,MRUS,MERUS NV,USD,1651311,A,352010,35,35201010,325414,2836,,,2.87735535
175319,12/31/24,2024,INDL,C,D,STD,HBI,HANESBRANDS INC,USD,1359841,A,252030,25,25203010,315,2300,,,2.86931744
124617,12/31/24,2024,INDL,C,D,STD,UGP,ULTRAPAR PARTICIPACOES SA,USD,1094972,A,101020,10,10102040,424720,5172,449,976,2.86345984
10565,12/31/24,2024,INDL,C,D,STD,TDW,TIDEWATER INC,USD,98222,A,101010,10,10101020,488390,4400,395,935,2.86259133
14140,12/31/24,2024,INDL,C,D,STD,SAN,BANCO SANTANDER SA,USD,891478,A,401010,40,40101010,522110,6020,810,800,2.85841776
3969,12/31/24,2024,INDL,C,D,STD,DIOD,DIODES INC,USD,29002,A,453010,45,45301020,334413,3674,235,940,2.85735611
185824,12/31/24,2024,INDL,C,D,STD,BKU,BANKUNITED INC,USD,1504008,A,401010,40,40101015,522110,6020,,,2.85316933
151933,12/31/24,2024,INDL,C,D,STD,TS,TENARIS SA,USD,1190723,A,101010,10,10101020,331210,3317,,,2.85193572
31774,12/31/24,2024,INDL,C,D,STD,BHF,BRIGHTHOUSE FINANL INC,USD,1685040,A,403010,40,40301020,524113,6311,,,2.85136616
38019,12/31/24,2024,INDL,C,D,STD,OSCR,OSCAR HEALTH INC,USD,1568651,A,403010,40,40301020,524114,6321,,,2.8459872
30397,12/31/24,2024,INDL,C,D,STD,HCC,WARRIOR MET COAL INC,USD,1691303,A,151040,15,15104050,21211,1220,,,2.83740288
3278,12/31/24,2024,INDL,C,D,STD,CAR,AVIS BUDGET GROUP INC,USD,723612,A,203040,20,20304040,532111,7510,175,976,2.83255479
2005,12/31/24,2024,INDL,C,D,STD,BOH,BANK OF HAWAII CORP,USD,46195,A,401010,40,40101015,522110,6020,817,800,2.83164752
165798,7/31/24,2024,INDL,C,D,STD,UEC,URANIUM ENERGY CORP,USD,1334933,A,101020,10,10102050,212290,1090,,,2.83045872
65343,8/31/24,2024,INDL,C,D,STD,PSMT,PRICESMART INC,USD,1041803,A,301010,30,30101040,455219,5331,432,976,2.82611654
61581,12/31/24,2024,INDL,C,D,STD,SAM,BOSTON BEER INC  -CL A,USD,949870,A,302010,30,30201010,312120,2082,140,978,2.824911754
145977,12/31/24,2024,INDL,C,D,STD,AAP,ADVANCE AUTO PARTS INC,USD,1158449,A,255040,25,25504050,441330,5531,449,976,2.82486815
28367,12/31/24,2024,INDL,C,D,STD,IRTC,IRHYTHM TECHNOLOGIES INC,USD,1388658,A,351010,35,35101010,334510,3845,,,2.82214066
38834,12/31/24,2024,INDL,C,D,STD,LFST,LIFESTAN HLTH GRP INC,USD,1845257,A,351020,35,35102015,621420,8093,,,2.8200568
175008,12/31/24,2024,INDL,C,D,STD,FOLD,AMICUS THERAPEUTICS INC,USD,1178879,A,352010,35,35201010,325414,2836,,,2.81366922
38857,12/31/24,2024,INDL,C,D,STD,JANX,JANUX THERAPEUTICS INC,USD,1817713,A,352010,35,35201010,325414,2836,,,2.80988628
37382,11/30/24,2024,INDL,C,D,STD,CNXC,CONCENTRIX CORP,USD,1803599,A,202020,20,20202030,518210,7374,,,2.80471813
18630,12/31/24,2024,INDL,C,D,STD,RNG,RINGCENTRAL INC,USD,1384905,A,451030,45,45103010,518210,7370,,,2.80321569
65607,6/30/24,2024,INDL,C,D,STD,OSIS,OSI SYSTEMS INC,USD,1039065,A,452030,45,45203010,334519,3844,180,940,2.797922563
293070,12/31/24,2024,INDL,C,D,STD,BUR,BURFORD CAPITAL LIMITED,USD,1714174,A,402010,40,40201040,522299,6159,,,2.79751575
24352,11/30/24,2024,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,876167,A,451030,45,45103020,513210,7372,185,940,2.79526075
34953,12/31/24,2024,INDL,C,D,STD,PLMR,PALOMAR HOLDINGS INC,USD,1761312,A,403010,40,40301040,524126,6331,,,2.79454494
8386,12/31/24,2024,INDL,C,D,STD,PATK,PATRICK INDUSTRIES INC,USD,76605,A,251010,25,25101010,336390,3714,325,978,2.78882944
19355,12/31/24,2024,INDL,C,D,STD,SFNC,SIMMONS FIRST NATL CP  -CL A,USD,90498,A,401010,40,40101015,522110,6020,817,800,2.78520914
19318,12/31/24,2024,INDL,C,D,STD,PRK,PARK NATIONAL CORP,USD,805676,A,401010,40,40101015,522110,6020,817,800,2.770137208
2986,12/31/24,2024,INDL,C,D,STD,CPK,CHESAPEAKE UTILITIES CORP,USD,19745,A,551020,55,55102010,221210,4923,710,700,2.76447435
26361,12/31/24,2024,INDL,C,D,STD,RRR,RED ROCK RESORTS INC,USD,1653653,A,253010,25,25301010,721120,7990,,,2.75742992
33449,12/31/24,2024,INDL,C,D,STD,USAC,USA COMPRESSION PRTNRS LP,USD,1522727,A,101010,10,10101020,213112,1389,,,2.75706188
26305,12/31/24,2024,INDL,C,D,STD,LAUR,LAUREATE EDUCATION INC,USD,912766,A,253020,25,25302010,611310,8200,,,2.75602865
7161,12/31/24,2024,INDL,C,D,STD,MGRC,MCGRATH RENTCORP,USD,752714,A,201070,20,20107010,532420,7359,175,976,2.74529282
